Date : 2021-06-10 00:24:05
Directory : c:\Users\chris\Documents\GitHub\twitter-clone
Total : 361 files,  44916 codes, 17491 comments, 8082 blanks, all 70489 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\psr\http-client\src\ClientInterface.php                           | PHP          |          8 |          9 |          4 |         21 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\psr\http-client\src\NetworkExceptionInterface.php                 | PHP          |          7 |         14 |          4 |         25 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\psr\http-client\src\RequestExceptionInterface.php                 | PHP          |          7 |         14 |          4 |         25 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\psr\http-message\CHANGELOG.md                                     | Markdown     |         24 |          0 |         13 |         37 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\psr\http-message\README.md                                        | Markdown     |          9 |          0 |          4 |         13 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\psr\http-message\composer.json                                    | JSON         |         26 |          0 |          1 |         27 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\psr\http-message\src\MessageInterface.php                         | PHP          |         16 |        159 |         13 |        188 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\psr\http-message\src\RequestInterface.php                         | PHP          |         11 |        111 |          8 |        130 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\psr\http-message\src\ResponseInterface.php                        | PHP          |          8 |         56 |          5 |         69 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\psr\http-message\src\ServerRequestInterface.php                   | PHP          |         18 |        229 |         15 |        262 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\psr\http-message\src\StreamInterface.php                          | PHP          |         20 |        122 |         17 |        159 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\psr\http-message\src\UploadedFileInterface.php                    | PHP          |         11 |        105 |          8 |        124 |
